State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10741,0,10612,129,0.0,98.8,1.2,100896618
Andhra Pradesh,2339048,9,2324306,14733,0.0,99.37,0.63,128500364
Arunachal Pradesh,66887,1,66590,296,0.0,99.56,0.44,658019
Assam,746099,0,738064,8035,0.0,98.92,1.08,290492
Bihar,851339,18,839019,12302,0.0,98.55,1.45,40100376
Chandigarh,99335,7,98147,1181,0.01,98.8,1.19,30501026
Chhattisgarh,1177724,14,1163565,14145,0.0,98.8,1.2,28900667
Dadra and Nagar Haveli and Daman and Diu,11591,1,11586,4,0.01,99.96,0.03,231502578
Delhi,2006921,25,1980379,26517,0.0,98.68,1.32,773997
Goa,259016,44,254959,4013,0.02,98.43,1.55,3772103
Gujarat,1277422,221,1266158,11043,0.02,99.12,0.86,70400153
Haryana,1056505,50,1045741,10714,0.0,98.98,1.01,7503010
Himachal Pradesh,312560,28,308321,4211,0.01,98.64,1.35,3436948
Jammu and Kashmir,479356,19,474552,4785,0.0,99.0,1.0,66001
Jharkhand,442566,18,437217,5331,0.0,98.79,1.2,124904071
Karnataka,4071104,1618,4029183,40303,0.04,98.97,0.99,1711947
Kerala,6825913,1765,6752658,71490,0.03,98.93,1.05,91702478
Ladakh,29404,4,29169,231,0.01,99.2,0.79,4184959
Lakshadweep,11415,0,11363,52,0.0,99.54,0.46,11700099
Madhya Pradesh,1054897,9,1044112,10776,0.0,98.98,1.02,14999397
Maharashtra,8135620,504,7986710,148406,0.01,98.17,1.82,399001
Manipur,139915,12,137754,2149,0.01,98.46,1.54,47099270
Meghalaya,96776,2,95150,1624,0.0,98.32,1.68,79502477
Mizoram,238950,13,238211,726,0.01,99.69,0.3,1308967
Nagaland,35986,0,35204,782,0.0,97.83,2.17,38157311
Odisha,1336419,111,1327104,9204,0.01,99.3,0.69,19301096
Puducherry,175485,6,173504,1975,0.0,98.87,1.13,2073074
Punjab,784128,28,764811,19289,0.0,97.54,2.46,34698876
Rajasthan,1315207,106,1305448,9653,0.01,99.26,0.73,1521992
Sikkim,44314,3,43812,499,0.01,98.87,1.13,83697770
Tamil Nadu,3594062,293,3555720,38049,0.01,98.93,1.06,35998752
Telengana,841070,73,836886,4111,0.01,99.5,0.49,69599762
Tripura,108032,1,107091,940,0.0,99.13,0.87,1646050
Uttar Pradesh,2128020,140,2104248,23632,0.01,98.88,1.11,1158040
Uttarakhand,449284,36,441497,7751,0.01,98.27,1.73,85002417
West Bengal,2118451,84,2096836,21531,0.0,98.98,1.02,32199722
